Sector,No,Direct impact,Indirect impact,Induced impact,Total impact
Services - Water,87,1,0.642674158,0.60396613,2.246640289
"Services - Sewerage, Waste Management and Remediation Activities",88,1,1.028363298,1.041627861,3.069991159
Construction - Residential Buildings,89,1,1.078175412,1.169926856,3.248102268
Construction - Non-Residential Buildings ,90,1,1.073012616,1.03151211,3.104524726
Construction -Civil Engineering,91,1,1.053845967,1.071449264,3.125295231
Construction - Specialised Construction Activities,92,1,1.054550019,0.985833575,3.040383594
"Services - Wholesale & Retail Trade, Repair of Motor Vehicles and Motorcycles ",93,1,0.572324789,0.810212511,2.3825373
Services - Accommodation,94,1,0.67632331,1.10514727,2.78147058
Services - Food and Beverage ,95,1,1.002337921,0.882990051,2.885327973
Services - Land Transport,96,1,0.857789954,0.825786789,2.683576744
Services - Water Transport,97,1,1.073807067,0.723890878,2.797697945
Services - Air Transport,98,1,1.020460062,0.849353399,2.869813462
Services - Warehousing and Support Activities for Transportation,99,1,0.9012183,0.817989392,2.719207692
Services - Services Incidental to Water and Air Transportation  ,100,1,0.528892815,0.859243394,2.388136209
"Services - Highway Operation Services, Bridge and Tunnel",101,1,0.303120434,0.409685614,1.712806047
Services - Postal and Courier Activities,102,1,0.819710066,1.2913904,3.111100465
Services - Publishing Activities,103,1,0.74852233,0.921608624,2.670130953
Services - Telecommunications,104,1,0.736662457,0.63856113,2.375223587
"Services - Motion Picture, Programming and Broadcasting Activities",105,1,1.014894657,0.703106066,2.718000723
Services - Computer and Information Services,106,1,0.844767481,1.116862706,2.961630187
Services - Monetary Intermediation,107,1,0.303888936,1.055227626,2.359116563
Services - Other Financial Service,108,1,0.976827811,0.953337205,2.930165016
Services - Insurance/ Takaful and Pension Funding,109,1,0.512725583,0.732609822,2.245335405
Services - Activities Auxiliary to Financial Service and Insurance/ Takaful,110,1,0.743759567,0.887148201,2.630907768
Services - Real Estate,111,1,0.528733737,0.565127782,2.093861518
Services - Ownership of Dwellings,112,1,0.265525414,0.127578032,1.393103446
Services - Rental and Leasing,113,1,0.636324363,0.815917099,2.452241462
Services - Scientific Research and Development,114,1,0.536959047,0.975604268,2.512563315
Services - Professional,115,1,0.514817612,1.198986325,2.713803937
Services - Business Services,116,1,0.943802191,1.142169265,3.085971456
Services - Public Administration,117,1,0.613435346,2.039980133,3.653415478
Services - Education,118,1,0.522103785,2.140920542,3.663024327
Services - Health,119,1,0.937282053,1.566474217,3.50375627
Services - Public Order and Safety,120,1,0.856975908,1.741507534,3.598483441
Services - Other Public Administration,121,1,0.492363769,2.234980029,3.727343799
Services - Non-Profit Institutions Serving Households,122,1,0.963588006,1.385513082,3.349101088
"Services - Arts, Entertainment and Recreation",123,1,0.776156482,0.715392924,2.491549406
Services - Other Private Services,124,1,0.699833962,1.175928113,2.875762074
